ID,Modelo,Ano,Concessionaria,Preco,Combustivel,Cor
6a15952b8ae6ae976fcab69a,ONIX HATCH MT ASPIRADO (R7J),26/26,GM SANTA CLARA - STOLL.SANTA CLARA,102990,Flex,AZUL BOREAL
6a15952c8ae6ae976fcab69c,ONIX HATCH MT ASPIRADO (R7J),26/26,GM SANTA CLARA - STOLL.SANTA CLARA,104690,Flex,PRETO OURO NEGRO
6a15952d8ae6ae976fcab69d,ONIX HATCH MT ASPIRADO (R7J),26/26,GM SANTA CLARA - STOLL.SANTA CLARA,104690,Flex,VERMELHO SCARLET
6a1595458ae6ae976fcab6cb,ONIX HATCH AT TURBO (R7K),26/26,GM SANTA CLARA - RONALDO.CLARA,114990,Flex,PRATA SHARK
6a1595458ae6ae976fcab6cc,ONIX HATCH LTZ TURBO AT (RGM),25/26,GM BREGAMAR - BARP.BREGAMAR,117500,Flex,PRETO OURO NEGRO
6a1595468ae6ae976fcab6ce,ONIX SEDAN PLUS PREMIER TURBO AT (R8R),25/26,GM SAGA BURITI - GABRIEL,118990,Flex,BRANCO SUMMIT
6a1595478ae6ae976fcab6d0,ONIX SEDAN PLUS PREMIER TURBO AT (R8R),25/26,GM SAGA BURITI - GABRIEL,118990,Flex,BRANCO SUMMIT
6a1595498ae6ae976fcab6d3,TRACKER TURBO AT (R8B),26/26,GM SANTA CLARA - STOLL.SANTA CLARA,119900,Flex,CINZA RUSH
6a159549097df1b5d4fb6205,TRACKER TURBO AT (R8B),26/26,GM SANTA CLARA - STOLL.SANTA CLARA,119900,Flex,BRANCO SUMMIT
6a15954a097df1b5d4fb6206,TRACKER TURBO AT (R8B),26/26,GM SANTA CLARA - STOLL.SANTA CLARA,119900,Flex,CINZA RUSH
